month,average_price,index
2014-10-31,14741.8047171656,KOSPI2
2014-12-31,25.7662528216695,KOSPI2
2015-03-31,15759.0138286743,KOSPI2
2015-04-30,16635.1370966164,KOSPI2
2015-06-30,19072.0988961472,KOSPI2
2015-07-31,18289.2107881582,KOSPI2
2015-08-31,18136.0283384539,KOSPI2
2015-09-30,18031.9035253813,KOSPI2
2015-11-30,17527.4567348188,KOSPI2
2015-12-31,25.2823042505581,KOSPI2
2016-02-29,24997.6514041584,KOSPI2
2016-03-31,16587.8678338378,KOSPI2
2016-05-31,16224.2231363617,KOSPI2
2016-06-30,15653.24415614,KOSPI2
2016-08-31,14751.4841345591,KOSPI2
2016-09-30,14975.0694991056,KOSPI2
2016-10-31,14067.6801017747,KOSPI2
2016-11-30,14066.6274403814,KOSPI2
2017-01-31,71765.8905775076,KOSPI2
2017-02-28,21432.3913010679,KOSPI2
2017-03-31,14150.2017353814,KOSPI2
2017-05-31,16026.6679071794,KOSPI2
2017-06-30,15841.2917852116,KOSPI2
2017-07-31,15926.6584850805,KOSPI2
2017-08-31,15671.2411543845,KOSPI2
2017-09-30,48.300899280576,KOSPI2
2017-10-31,15810.2919848397,KOSPI2
2017-11-30,16028.8522272716,KOSPI2
2018-01-31,17158.4290579363,KOSPI2
2018-02-28,23718.2179529904,KOSPI2
2018-03-31,47.2249466192126,KOSPI2
2018-04-30,27330.0234502418,KOSPI2
2018-05-31,15983.1192011577,KOSPI2
2018-07-31,15318.3318247119,KOSPI2
2018-08-31,15366.2710815637,KOSPI2
2018-10-31,13460.1000155269,KOSPI2
2018-11-30,14035.876392529,KOSPI2
2018-12-31,23.1285714285718,KOSPI2
